time,open,high,low,close,Volume,Volume MA
1690820700,383.61,383.64,383.55,383.57,72568,53975.85
1690820760,383.565,383.6496,383.55,383.595,20216,53463.9
1690820820,383.59,383.6988,383.5301,383.6899,14931,52332.45
1690820880,383.681,383.798,383.66,383.75,67777,53781.5
1690820940,383.75,383.81,383.7322,383.76,43988,53008.1
1690821000,383.74,383.84,383.665,383.73,46939,54192
1690821060,383.74,383.785,383.48,383.7,123210,59427.25
1690821120,383.69,383.69,383.54,383.575,27788,58037.25
1690821180,383.57,383.6132,383.43,383.595,32485,56035.25
1690821240,383.63,383.63,383.5414,383.5459,19479,49348.65
1690821300,383.555,383.56,383.37,383.3704,50201,46177.7
1690821360,383.38,383.445,383.32,383.44,38005,45982.55
1690821420,383.45,383.55,383.4457,383.52,41390,47000.7
1690821480,383.5,383.6203,383.49,383.6,14911,45450.35
1690821540,383.6,383.6793,383.58,383.59,24617,44330
1690821600,383.5904,383.5904,383.38,383.39,67105,45894.15
1690821660,383.4,383.4483,383.31,383.358,40562,44569.2
1690821720,383.355,383.37,383.265,383.35,33917,45152.25
1690821780,383.36,383.38,383.29,383.35,14137,42509.6
1690821840,383.36,383.43,383.32,383.3999,18322,40627.4
1690821900,383.3912,383.4,383.27,383.37,20396,38018.8
1690821960,383.38,383.39,383.27,383.27,26240,38320
1690822020,383.28,383.295,383.21,383.24,40731,39610
1690822080,383.2499,383.34,383.18,383.31,71204,39781.35
1690822140,383.32,383.42,383.29,383.4,35010,39332.45
1690822200,383.42,383.42,383.25,383.25,31742,38572.6
1690822260,383.2489,383.3167,383.2001,383.26,27170,33770.6
1690822320,383.25,383.32,383.15,383.26,42207,34491.55
1690822380,383.26,383.26,383.05,383.1005,48640,35299.3
1690822440,383.11,383.29,383.09,383.26,73023,37976.5
1690822500,383.26,383.2689,383.01,383.09,47537,37843.3
1690822560,383.0801,383.18,383.03,383.14,33947,37640.4
1690822620,383.1473,383.1473,382.98,383.04,42555,37698.65
1690822680,383.02,383.1,382.9105,383.06,70392,40472.7
1690822740,383.0701,383.1,382.95,382.985,54296,41956.65
1690822800,382.985,383.055,382.91,383.0406,46957,40949.25
1690822860,383.03,383.03,382.73,382.795,70012,42421.75
1690822920,382.79,382.8091,382.56,382.7989,158950,48673.4
1690822980,382.8199,382.9201,382.78,382.92,58854,50909.25
1690823040,382.91,382.91,382.78,382.8101,24311,51208.7
1690823100,382.822,382.86,382.76,382.86,156722,58025
1690823160,382.86,383.1,382.86,383.05,91064,61266.2
1690823220,383.05,383.25,383.04,383.2312,101326,64295.95
1690823280,383.2301,383.35,383.22,383.31,59431,63707.3
1690823340,383.3,383.39,383.2809,383.37,35861,63749.85
1690823400,383.39,383.45,383.335,383.42,42921,64308.8
1690823460,383.4,383.4,383.27,383.35,56446,65772.6
1690823520,383.345,383.4489,383.32,383.4279,28847,65104.6
1690823580,383.43,383.43,383.355,383.4,20319,63688.55
1690823640,383.385,383.385,383.22,383.26,55337,62804.25
1690823700,383.26,383.2899,383.14,383.1784,52224,63038.6
1690823760,383.17,383.18,383.06,383.13,49049,63793.7
1690823820,383.135,383.17,382.9288,382.93,51339,64232.9
1690823880,382.9366,382.9366,382.78,382.84,100258,65726.2
